Route,admin,edit,org_auditor,rules_admin,superadmin,systemadmin,view,Protected
POST NgJiraBugtrackersDataLoaderRestController.getJiraProjects,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraLabels,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraUsersForProject,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraUsersForBugtrackerAndProject,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraEpicsByProject,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraEpicsForBugtrackerAndProject,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraEpic,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraStatuses,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraStatuses,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraIssueTypes,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraIssueTypes,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraResolutions,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraResolutions,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraPriorities,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraPriorities,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraFields,YES,,,,,,,YES
POST NgJiraBugtrackersDataLoaderRestController.getJiraFields,YES,,,,,,,YES
GET NgJiraBugtrackersRestController.getJiraBugtracker,YES,,,,,,,YES
GET NgJiraBugtrackersRestController.addJiraBugtracker,YES,,,,,,,YES
GET NgJiraBugtrackersRestController.testJiraBugtracker,YES,,,,,,,YES
GET NgJiraBugtrackersRestController.testExistingJiraBugtracker,YES,,,,,,,YES
GET NgJiraBugtrackersRestController.editJiraBugtracker,YES,,,,,,,YES
GET NgJiraBugtrackersRestController.getJiraBugtrackerForVulnerability,,YES,,,,,,YES
